/*********************************************
 * OPL 20.1.0.0 Data
 * Author: User
 * Creation Date: Sep 24, 2021 at 5:31:58 PM
 *********************************************/
param v:=7; 
param l:=3; 
param n:=5; 

param Distance:1 2 3 4 5 6 7 := 
1	0	15	10	30 15 35 22  
2	15	0	24	23 20 36 12   
3	10	24	0	36 11 37  13  
4	30	23  36	0  42 38  23  
5   15  20  11  42  0 39  14  
6   35  36  37  38 39  0  15  
7   22  12  13  23 14 15  0   ;

param Capacity :=
	1 120
	2 120
	3 120;
param Demand:=
	1 0
	2 30
	3 50
	4 40 
	5 30
	6 50
	7 40;
 
